Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude ,Fines content (%),CPT qc (MPa)
1,62,0.16,5.9,14,1.381
1,35,0.16,5.9,26,1.936
1,33,0.16,5.9,25,1.065
0,51,0.16,5.9,25,1.452
0,84,0.16,5.9,30,3.097
0,98,0.08,5.8,9,1.977
0,96,0.08,5.8,21,2.904
0,69,0.08,5.8,12,1.883
0,52,0.08,5.8,24,1.452
0,40,0.08,5.8,30,1.161
0,90,0.08,5.8,20,3.629
0,63,0.08,5.8,23,2.129
0,47,0.08,5.8,31,1.292
0,27,0.08,5.8,27,1.087
0,33,0.08,5.8,21,1.298
0,92,0.08,5.8,15,2.227
0,32,0.08,5.8,27,1.125
0,32,0.08,5.8,32,2.782
0,123,0.08,5.8,26,2.904
0,55,0.08,5.8,27,1.925
