Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude,Fines content (%),CPT qc (MPa)
Yes,34.653,0.19,7.6,18,2.465399203
Yes,52.254,0.19,7.6,49,1.816170465
No,52.842,0.19,7.6,9,2.193773524
No,73.206,0.19,7.6,8,4.454172922
No,72.442,0.19,7.6,33,1.214915248
No,42.218,0.19,7.6,27,1.374795032
No,65.399,0.19,7.6,55,1.077141824
No,324.65,0.19,7.6,11,14.50345804
No,132.91936,0.19,7.6,24,4.799121271
Yes,30.178,0.19,7.6,47,1.109859533
Yes,18.9532,0.19,7.6,7,1.259053402
Yes,58.1924,0.19,7.6,57,1.942352001
Yes,36.6128,0.19,7.6,19,1.863058914
No,29.4784,0.19,7.6,38,1.214915248
Yes,60.87107,0.19,7.6,31,1.486268119
Yes,44.1784,0.19,7.6,15,3.429175764
Yes,33.6767,0.19,7.6,59,1.330430525
No,103.2136,0.19,7.6,15,2.218859283
No,84.721,0.19,7.6,18,5.992129038
Yes,79.03896,0.19,7.6,53,1.395071897
Yes,66.052,0.21,7.6,35,1.734720693
Yes,91.19292,0.19,7.6,15,8.062241123
Yes,38.9648,0.19,7.6,36,1.510520964
Yes,39.004,0.19,7.6,38,2.12324017
Yes,47.5496,0.19,7.6,30,1.698592136
Yes,41.8656,0.428,7.6,55,0.681858339
Yes,70.17584,0.428,7.6,47,2.219719066
Yes,88.6459,0.428,7.6,54,2.351991266
Yes,81.5997,0.428,7.6,22,8.152807456
Yes,97.2258,0.428,7.6,18,3.153096923
Yes,98.83,0.428,7.6,25,16.36343961
Yes,36.0402,0.428,7.6,22,2.794588371
Yes,119.81,0.428,7.6,21,4.864876373
No,121.8414,0.428,7.6,63,5.051702529
Yes,53.41,0.428,7.6,24,2.168400866
No,96.0449,0.428,7.6,55,4.439438131
Yes,81.05907,0.428,7.6,35,1.660415087
Yes,68.4138,0.428,7.6,30,3.91901938
Yes,33.2612,0.789,7.6,10,11.11915743
Yes,194.3572,0.789,7.6,51,8.548468008
No,22.932,0.789,7.6,76,1.051257699
Yes,24.108,0.789,7.6,55,1.037058311
Yes,69.0655,0.789,7.6,20,7.011896374
No,16.66,0.789,7.6,65,0.498911447
Yes,89.0428,0.789,7.6,15,4.504424176
Yes,51.2834,0.789,7.6,69,2.419714605
Yes,37.8035,0.789,7.6,45,2.616889736
Yes,168.221,0.789,7.6,43,10.12429374
Yes,20.1096,0.789,7.6,30,0.959824254
Yes,22.5792,0.789,7.6,21,5.352690967
Yes,53,0.789,7.6,14,6.554261512
Yes,49,0.162,7.6,3,3.98
Yes,40,0.162,7.6,5,3
No,61,0.162,7.6,5,12.4
Yes,35.3,0.16,7.5,2.5,3.14
Yes,51,0.16,7.5,2.5,1.57
Yes,56.9,0.16,7.5,2.5,7.06
Yes,81.4,0.16,7.5,2.5,5.49
Yes,61.8,0.16,7.5,2.5,5.34
Yes,78.5,0.16,7.5,2.5,7.8
Yes,117.1,0.16,7.5,2.5,9.51
No,45.1,0.16,7.5,2.5,7.85
No,49,0.16,7.5,2.5,14.27
Yes,50,0.6,7.2,18,2
Yes,24,0.3,7.2,16,0.8
Yes,166.1,0.5,6.4,62,6.37
Yes,182.6,0.5,6.4,50,6.86
No,212.5,0.5,6.4,18,11.77
No,218.5,0.5,6.4,52,19.32
No,227.5,0.5,6.4,68,21.57
Yes,119.7,0.5,6.4,64,3.14
Yes,138.9,0.5,6.4,71,0.69
No,154.2,0.5,6.4,49,1.77
No,161.7,0.5,6.4,38,9.81
No,170.7,0.5,6.4,49,8.73
No,182.7,0.5,6.4,56,5.39
No,202.1,0.5,6.4,51,9.32
Yes,86.8,0.5,6.4,74,0.69
No,131.7,0.5,6.4,61,7.06
No,146.7,0.5,6.4,46,10.79
No,152.7,0.5,6.4,52,13.73
No,178.2,0.5,6.4,56,8.83
No,190.2,0.5,6.4,47,6.86
Yes,95.8,0.5,6.4,52,1.96
Yes,103.3,0.5,6.4,65,0.69
No,146.7,0.5,6.4,52,0.69
No,155.7,0.5,6.4,55,1.96
No,166.2,0.5,6.4,38,4.9
No,175.2,0.5,6.4,54,9.81
No,190.2,0.5,6.4,64,15.69
Yes,119.7,0.5,6.4,61,1.96
Yes,130.2,0.5,6.4,43,1.96
No,154.2,0.5,6.4,25,20.6
Yes,50,0.15,7.3,72,0.65
Yes,41.2,0.15,7.3,42,0.53
Yes,80.9,0.15,7.3,61,1.2
Yes,85,0.64,7.6,5,6.4
No,49,0.64,7.6,4,12
Yes,36,0.64,7.6,6,7.6
Yes,55,0.64,7.6,41,4.2
Yes,72,0.64,7.6,3,10
No,50,0.64,7.6,10,8.5
Yes,57,0.64,7.6,4,6
Yes,24,0.61,7.6,9,3.8
Yes,60,0.58,7.6,5,11.3
No,89,0.26,7.6,2,15.5
Yes,39,0.25,7.6,5,4.1
No,58,0.25,7.6,5,10
